name,parent,icon
Musky rat-kangaroo,Opossum,https://beichentian-gis.github.io/research/marsupial_images/rat-kangaroo.png
Wombat,Musky rat-kangaroo,https://beichentian-gis.github.io/research/marsupial_images/wombat-australia-bushfires-1.png
Ekaltadeta,Musky rat-kangaroo,https://beichentian-gis.github.io/research/marsupial_images/Ekaltadeta-ima-738x591.png
Nimbacinus dicksoni,Proborhyaena,https://beichentian-gis.github.io/research/marsupial_images/Nimbacinus-dicksoni-(WB)1-738x591.png
Tasmanian Devil,Whollydooleya,https://beichentian-gis.github.io/research/marsupial_images/Tasmanian-Devil-1156x650.png
Thylacine,Nimbacinus dicksoni,https://beichentian-gis.github.io/research/marsupial_images/Thylacine-(WB)1-738x591.png
Wakaleo,Wombat,https://beichentian-gis.github.io/research/marsupial_images/Wakaleo-(WB)1-738x591.png
Silvabestius,Wombat,https://beichentian-gis.github.io/research/marsupial_images/Silvabestius-(WB)-738x591.png
Nimiokoala,Wombat,https://beichentian-gis.github.io/research/marsupial_images/Nimiokoala-greystanesi-(WB)-738x591.png
Whollydooleya,Proborhyaena,https://beichentian-gis.github.io/research/marsupial_images/Whollydooleya-(WB)-738x591.png
Quoll,Whollydooleya,https://beichentian-gis.github.io/research/marsupial_images/Dasyurus_maculatus.png
Palorchestes,Silvabestius,https://beichentian-gis.github.io/research/marsupial_images/Palorchestes-white-738x591.png
Euryzygoma,Silvabestius,https://beichentian-gis.github.io/research/marsupial_images/Euryzygoma.width-800.d66c058.png
Thylacoleo,Wakaleo,https://beichentian-gis.github.io/research/marsupial_images/Thylacoleo-(WB)-738x591.png
Diprotodon,Silvabestius,https://beichentian-gis.github.io/research/marsupial_images/Diprotodon-opatum-skeleton-738x591.png
Zygomaturus,Silvabestius,https://beichentian-gis.github.io/research/marsupial_images/Zygomaturus-738x591.png
Short-faced kangaroo,Musky rat-kangaroo,https://beichentian-gis.github.io/research/marsupial_images/Procoptodon(WB)1-738x591.png
Propleopus,Ekaltadeta,https://beichentian-gis.github.io/research/marsupial_images/Propleopus-(WB)-738x591.png
Red kangaroo,Musky rat-kangaroo,https://beichentian-gis.github.io/research/marsupial_images/red_kangaroo.png
Grey kangaroo,Musky rat-kangaroo,https://beichentian-gis.github.io/research/marsupial_images/grey_kangaroo.png
Parma wallaby,Pademelon,https://beichentian-gis.github.io/research/marsupial_images/parma_wallaby.png
Tree kangaroo,Pademelon,https://beichentian-gis.github.io/research/marsupial_images/tree_kangaroo.png
Pademelon,Musky rat-kangaroo,https://beichentian-gis.github.io/research/marsupial_images/Pademelon.png
Koala,Nimiokoala,https://beichentian-gis.github.io/research/marsupial_images/koala.png
Mayulestes ferox,null,https://beichentian-gis.github.io/research/marsupial_images/Mayulestes-ferox-738x591.png
Callistoe vincei,Mayulestes ferox,https://beichentian-gis.github.io/research/marsupial_images/Callistoe-vincei1-738x591.png
Arminiheringia,Mayulestes ferox,https://beichentian-gis.github.io/research/marsupial_images/Arminiheringia-(WB)1-738x591.png
Proborhyaena,Mayulestes ferox,https://beichentian-gis.github.io/research/marsupial_images/Proborhyaena-white-738x591.png
Thylacosmilus,Anachlysictis,https://beichentian-gis.github.io/research/marsupial_images/Thylacosmilus-(WB)1-738x591.png
Borhyaena,Arminiheringia,https://beichentian-gis.github.io/research/marsupial_images/Borhyaena-tuberata-white-738x591.png
Dukecynus,Callistoe vincei,https://beichentian-gis.github.io/research/marsupial_images/Dukecynus-magnus-2017-738x591.png
Short-tailed opossum,Mayulestes ferox,https://beichentian-gis.github.io/research/marsupial_images/Short-tailed-opossum.png
Anachlysictis,Borhyaena,https://beichentian-gis.github.io/research/marsupial_images/Anachlysictis-738x591.png
Shrew opossum,Mayulestes ferox,https://beichentian-gis.github.io/research/marsupial_images/Shrew-opossum.png
Opossum,Mayulestes ferox,https://beichentian-gis.github.io/research/marsupial_images/possum.png
