"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2018-08-13 00:56:22 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)","Asylum-seekers (pending cases)","Returned refugees","Internally displaced persons (IDPs)","Returned IDPs","Stateless persons","Others of concern","Total Population"
2016,Germany,Afghanistan,46292,126522,0,0,0,0,0,172814
2016,Germany,Pakistan,5169,22748,0,0,0,0,0,27917
2016,Germany,Somalia,7879,15973,0,0,0,0,0,23852
2016,Germany,"Serbia and Kosovo (S/RES/1244 (1999))",9189,16541,0,0,0,0,0,25730
2016,Germany,"South Sudan",21,155,0,0,0,0,0,176
2016,Germany,"Syrian Arab Rep.",375122,100527,0,0,0,0,0,475649
2016,Spain,Afghanistan,235,115,0,0,0,0,0,350
2016,Spain,Pakistan,322,235,0,0,0,0,0,557
2016,Spain,Palestinian,595,825,0,0,0,0,0,1420
2016,Spain,Somalia,565,145,0,0,0,0,0,710
2016,Spain,"Serbia and Kosovo (S/RES/1244 (1999))",3,15,0,0,0,0,0,18
2016,Spain,"South Sudan",0,5,0,0,0,0,0,5
2016,Spain,"Syrian Arab Rep.",8205,1600,0,0,0,0,0,9805
2016,France,Afghanistan,7685,4180,0,0,0,0,0,11865
2016,France,Pakistan,1137,1760,0,0,0,0,0,2897
2016,France,Palestinian,705,155,0,0,0,0,0,860
2016,France,Somalia,2524,1191,0,0,0,0,0,3715
2016,France,"Serbia and Kosovo (S/RES/1244 (1999))",13154,2087,0,0,0,0,0,15241
2016,France,"South Sudan",8,0,0,0,0,0,0,8
2016,France,"Syrian Arab Rep.",8991,2149,0,0,0,0,0,11140
2016,"United Kingdom",Afghanistan,9752,2793,0,0,0,0,0,12545
2016,"United Kingdom",Pakistan,6814,2914,0,0,0,0,0,9728
2016,"United Kingdom",Palestinian,480,148,0,0,0,0,0,628
2016,"United Kingdom",Somalia,5954,405,0,0,0,0,0,6359
2016,"United Kingdom","Serbia and Kosovo (S/RES/1244 (1999))",125,43,0,0,0,0,0,168
2016,"United Kingdom","South Sudan",25,8,0,0,0,0,0,33
2016,"United Kingdom","Syrian Arab Rep.",8269,1010,0,0,0,0,0,9279
2016,Italy,Afghanistan,16033,1926,0,0,0,0,0,17959
2016,Italy,Pakistan,13412,11339,0,0,0,0,0,24751
2016,Italy,Palestinian,792,226,0,0,0,0,0,1018
2016,Italy,Somalia,14336,1501,0,0,0,0,0,15837
2016,Italy,"Serbia and Kosovo (S/RES/1244 (1999))",2885,511,0,0,0,0,0,3396
2016,Italy,"South Sudan",61,5,0,0,0,0,0,66
2016,Italy,"Syrian Arab Rep.",2613,548,0,0,0,0,0,3161
2016,Sweden,Afghanistan,16558,34217,0,0,0,0,0,50775
2016,Sweden,Pakistan,393,529,0,0,0,0,0,922
2016,Sweden,Palestinian,882,474,0,0,0,0,0,1356
2016,Sweden,Somalia,22548,3890,0,0,0,0,0,26438
2016,Sweden,"Serbia and Kosovo (S/RES/1244 (1999))",2071,529,0,0,0,0,0,2600
2016,Sweden,"South Sudan",1,4,0,0,0,0,0,5
2016,Sweden,"Syrian Arab Rep.",96914,7085,0,0,0,0,0,103999
2016,Turkey,Afghanistan,3423,114693,0,0,0,0,0,118116
2016,Turkey,Pakistan,50,780,0,0,0,0,0,830
2016,Turkey,Palestinian,1043,793,0,0,0,0,0,1836
2016,Turkey,Somalia,2239,1224,0,0,0,0,0,3463
2016,Turkey,"South Sudan",4,3,0,0,0,0,0,7
2016,Turkey,"Syrian Arab Rep.",2823987,180,0,0,0,0,0,2824167
